Theater Company / School / Artistic Organization,Alt names,Link to more info,Language,Type of Organization,Year Founded,Year Ended,Location,Location,Location,Location,Location,Location,Location,VT Leadership,Pre or Post?,VT Leadership,Pre or Post?,VT Leadership,Pre or Post?,VT Leadership,Pre or Post?,VT Member,Pre or Post?,VT Member,Pre or Post?,VT Member,Pre or Post?,VT Member,Pre or Post?,VT Member,Pre or Post?,VT Member,Pre or Post?,VT Member,Pre or Post?,VT Member,Pre or Post?,VT Member,Pre or Post?,VT Member,Pre or Post?,VT Member,Pre or Post?,VT Member,Pre or Post?,VT Member,Pre or Post?,VT Member,Pre or Post?,VT Member,Pre or Post?,VT Member,Pre or Post?,VT Member,Pre or Post?,VT Member,Pre or Post?,VT Member,Pre or Post?,VT Member,Pre or Post?,VT Member,Pre or Post?,VT Member,Pre or Post?,VT Member,Pre or Post?,VT Member,Pre or Post?,VT Member,Pre or Post?,VT Member,Pre or Post?,VT Member,Pre or Post?,VT Member,Pre or Post?,VT Member,Pre or Post?,VT Member,Pre or Post?,VT Member,Pre or Post?,VT Member,Pre or Post?,VT Member,Pre or Post?,VT Member,Pre or Post?,VT Member,Pre or Post?,VT Member,Pre or Post?,VT Member,Pre or Post?,VT Member,Pre or Post?,VT Member,Pre or Post?,VT Member,Pre or Post?,VT Member,Pre or Post?,2nd/3rd degree conn,Role,2nd/3rd degree conn,Role,2nd/3rd degree conn,Role,2nd/3rd degree conn,Role,2nd/3rd degree conn,Role,2nd/3rd degree conn,Role,2nd/3rd degree conn,Role,2nd/3rd degree conn,Role,2nd/3rd degree conn,Role,2nd/3rd degree conn,Role,2nd/3rd degree conn,Role,2nd/3rd degree conn,Role,2nd/3rd degree conn,Role,2nd/3rd degree conn,Role,2nd/3rd degree conn,Role,2nd/3rd degree conn,Role,2nd/3rd degree conn,Role,2nd/3rd degree conn,Role,2nd/3rd degree conn,Role,2nd/3rd degree conn,Role,2nd/3rd degree conn,Role,2nd/3rd degree conn,Role,2nd/3rd degree conn,Role,2nd/3rd degree conn,Role,2nd/3rd degree conn,Role,2nd/3rd degree conn,Role,2nd/3rd degree conn,Role,Inspired,Inspired,Inspired,Inspired,Inspired,Inspired,Inspired,
Polish State Yiddish Theater,"State Jewish Theater of Poland, Polish State Jewish Theater, Ida Kaminska Theater, Teatr Żydowski im. E. R. Kaminskiej",http://www.yivoencyclopedia.org/article.aspx/Polish_State_Yiddish_Theater,Yiddish,Professional,1949,Present,Warsaw,Lodz,,,,,,Ida Kaminska,Post,,,,,,,Khavel Buzgan,Post,Moyshe Feder,Post,Meir Melman,Post,Yitzkhok Grudberg,Post,Avrom Morevsky,Post,Jacob Rotbaum,Post,Ruth Taru,Post,Rivka Shiller,Post,Yitzkhok Dogim,Post,Khavel Buzgan,Post,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Moyshe Lipman,Director,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Praesens,Praesens Blok,https://books.google.com/books/about/Constructivism_in_Poland_1923_1936_BLOK.html?id=-k9TAAAAMAAJ,Polish,Art Society,1926,,Warsaw,,,,,,,Szymon Syrkus,Pre,,,,,,,Andrzej Pronaszko,Pre,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Provincetown Players,,http://www.provincetownplayhouse.com/history.html,English,Amateur,1915,1929,"Provincetown, MA",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mordecai Gorelik,Designer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PYAT,"Parizer Yidisher Arbeter Teater, Parizer yidisher avagard-theater",http://www.jewishmag.com/116mag/yiddishtheater/yiddishtheater.htm,Yiddish,Professional,1933,1940,Paris,,,,,,,Yankev Kurlender,Post,Dovid Likht,Post,Jacob Rotbaum,Post,Yankev Mansdorf,Post,Henekh Kon,Post,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Jacob Rotbaum, Dovid Likht, Yankev Kurlender",,,,,,
Riger yidishn meutim teater,,http://www.yivoencyclopedia.org/article.aspx/Soviet_State_Yiddish_Theaters,Yiddish,Professional,192?,,Riga,,,,,,,Alex Stein,Post,,,,,,,Klara Segalovitch,Post,Khane Braz,Post,Avrom Morevsky,Post,Isaac Samberg,Post,Rivka Shiller,Post,Yankev Mandlblit,Post,Daniel Shapiro,Pre,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Rose Shoshana,Actor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Royal Academy of Fine Arts,Koninklijke Academie voor Schone Kunsten van Antwerpen,https://en.wikipedia.org/wiki/Royal_Academy_of_Fine_Arts_(Antwerp),Dutch,School,1663,Present,Antwerp,,,,,,,,,,,,,,,Henryrk Berlewi,Pre,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rubin Academy of Music and Dance,,https://en.wikipedia.org/wiki/Jerusalem_Academy_of_Music_and_Dance,Hebrew,School,,,Jerusalem,,,,,,,,,,,,,,,Gertrud Kraus,Post,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Russian Theater in Astrakhan,,none,Russian,Professional,,,Astrakhan,,,,,,,,,,,,,,,Adam Domb,Pre,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sam Adler Troupe,,none,Yiddish,Professional,,,EE,,,,,,,,,,,,,,,Mendl Elkin,Pre,Jacob Ben-Ami,Pre,Nadya Neroslavskaya,Pre,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sambatyon,Sambatiyon,http://www.yivoencyclopedia.org/article.aspx/Kleynkunst,Yiddish,Cabaret,1926,1929,Vilna,,,,,,,,,,,,,,,Władysław Weintraub,Post,A. Roytman,?,Avrom Eyzenberg,Post,Moyshe Potashinsky,Post,Dovid Birnboym,Post,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ester Lipovska,Actor,Władysław Godik,Actor,Ola Lilith,Actor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Second Avenue Theater,,https://en.wikipedia.org/wiki/Yiddish_Theater_District,Yiddish,Professional,,,New York,,,,,,,Wolf Barzel,Post,Joseph Edelstein,Post,,,,,Leib Kadison,Post,Leon Liebgold,Post,Luba Kadison,Post,Mordechai Yachson,Post,Moyshe Feder,Post,Alex Chertov,Pre,Mark Schweid,Pre,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Celia Adler,Actor,Zvi Scooler,Actor,Dina Halpern,Actor,Julius Adler,Actor,Boris Auerbach,Actor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sholem Asch Theater,,none,Yiddish,Professional,,,"Bat Yam, Israel",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Slavenska Franklin Ballet Company,,https://en.wikipedia.org/wiki/Mia_Slavenska,English,Professional Dance,1950,?,New York,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mia Slavenska,"Founder, Dancer",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Słowacki Theatre,,https://en.wikipedia.org/wiki/Juliusz_Słowacki_Theatre,Polish,Professional,1893,,Krakow,,,,,,,,,,,,,,,Andrzej Pronaszko,Post,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Karol Frycz,Director,Juliusz Osterwa,Director,Aleksander Zelwerowicz,Actor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Solovtsov Teater,,http://encyclopedia2.thefreedictionary.com/Solovtsov+Theater,Russian,Professional,,,Kiev,Russia,,,,,,,,,,,,,,Alexander Azro,Pre,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sziraim,(Precursor to Lower Silesian Yiddish Theater),none,Yiddish,Amateur,,,Wrocław,,,,,,,,,,,,,,,Ruth Taru,Post,Simkhe Natan,Post,Yankev Reynglas,Post,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tamar Ramle Dance Company,,http://www.zvidance.com/about/zvi.php,Hebrew,Professional Dance,,,Jerusalem,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Zvi Gotheiner,"Founder, Dancer",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tanzgruppe Bodenwieser,,http://jwa.org/encyclopedia/article/bodenwieser-gertrud,German,Professional,1923,1938,Vienna,,,,,,,,,,,,,,,Gertrud Kraus,Pre,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Gertrud Bodenwieser,Founder,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Teater Ambu,,none,Yiddish,Professional,,,Buenos Aires,,,,,,,,,,,,,,,Avrom Morevsky,Post,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Teater-kolektiv bay san-pauler folks-hoyz,Sao Paolo Dramatic Circle,none,Yiddish,Amateur,,,Sao Paolo,,,,,,,Yankev Kurlender,Post,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Teatr Mały,,https://pl.wikipedia.org/wiki/Teatr_Mały_w_Warszawie_(1906-1939),Polish,"Professional, School",1906,1939,Warsaw,,,,,,,,,,,,,,,Yankev Shidlo,Pre,Baruch Lumet,Pre,Mark Schweid,Pre,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Teatr Polski,,https://pl.wikipedia.org/wiki/Teatr_Polski_w_Warszawie,Polish,Professional,1913,,Warsaw,,,,,,,,,,,,,,,Zygmunt Turkow,Pre,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Arnold Szyfman,Founder,Karol Frycz,Designer,Leon Schiller,Director,Alexander Zelwerowicz,Director,Richard Boleslavsky,Director,Juliusz Osterwa,Director,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Teatr Polski we Wrocławiu,,https://pl.wikipedia.org/wiki/Teatr_Polski_we_Wrocławiu,Polish,Professional,,,Wrocław,,,,,,,Jacob Rotbaum,Post,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Teatr Polski, Lodz",,https://pl.wikipedia.org/wiki/Teatr_im._Stefana_Jaracza_w_Łodzi,Polish,Professional,1888,Present,Lodz,,,,,,,,,,,,,,,Andrzej Pronaszko,Pre,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Teatr Reduta,,https://pl.wikipedia.org/wiki/Teatr_Reduta,Polish,Professional,1919,,Warsaw,Vilna,,,,,,,,,,,,,,Andrzej Pronaszko,Post,Devorah Rosenblum,Pre,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Leon Schiller,Director,Juliusz Osterwa,Founder,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Jerzy Grotowski,,,,,,,
Théâtre le Temple,,https://fr.wikipedia.org/wiki/Théâtre_Le_Temple,Yiddish,Professional,1925,,Paris,,,,,,,,,,,,,,,Leonid Sniegov,Post,Isaac Samberg,Post,Lidia Pototska,Post,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Paul Baratoff,Actor,Moyshe Burstin,Founder/Director,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Teatron Emunahti,,none,Hebrew,Professional,,,Tel Aviv,,,,,,,Bela Daniel,Post,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Teatron Ivri,The Hebrew Theater of Palestine,http://www.yivoencyclopedia.org/article.aspx/Theater/Hebrew_Theater,Hebrew,Professional,1920,1923,Tel Aviv,,,,,,,Dovid Dovidov,Post,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Theater for Two,Teater far tsvey; Rozenblum-Melnik teater,none,Yiddish,Cabaret,1934,1955,South America,Western Europe,"US, Canada, Israel",,,,,Nokhum Melnik,Post,Devorah Rosenblum,Post,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Theatre Guild,,https://en.wikipedia.org/wiki/Theatre_Guild,English,Professional,,,New York,,,,,,,,,,,,,,,Jacob Ben-Ami,Post,Wolf Barzel,Post,Mark Schweid,Pre,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Morris Carnovsky,Actor,Harold Clurman,Actor,Edward G. Robinson,Actor,Lynn Fontanne,Actor,Alfred Lunt,Actor,Tyrone Guthrie,Director,Stella Adler,Actor,Michio Itō,Choreographer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Second City,,https://en.wikipedia.org/wiki/The_Second_City,English,Comedy,1950s,Present,Chicago,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Judy Graubart,Actor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
University of Vienna Law School,,https://en.wikipedia.org/wiki/University_of_Vienna,German,College/University,,,Vienna,,,,,,,,,,,,,,,Mikhl Vaykhert,Pre,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
University of Warsaw,,https://en.wikipedia.org/wiki/University_of_Warsaw,Polish,College/University,,,Warsaw,,,,,,,,,,,,,,,Zalmen Hirshfeld,Pre,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Unzer Teater,,https://books.google.com/books?id=ABnQTU7xYJ8C&pg=PA276&lpg=PA276&dq=unzer+teater&source=bl&ots=vNSF0jnxqJ&sig=2iBx4EGbYGjlzzP1eKbckpRqupQ&hl=en&sa=X&ved=0CDUQ6AEwBGoVChMI05KrvK_vxgIVhmk-Ch12UQQy#v=onepage&q=unzer%20teater&f=false,Yiddish ,Professional,1925,1926,"Bronx, New York",,,,,,,Mendl Elkin,Post,Chaim Shniur,Post,,,,,Frida Vitalin,Post,Bela Belarina,Post,Joseph Green,Post,Yankev Blayfer,Post,Jacob Bergrin,Post,Boris Aronson,Post,Wolf Barzel,Post,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Richard Boleslavsky,Advisor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Unzer teater (Vilna),,none,Yiddish,Professional,193?,193?,Vilna,,,,,,,,,,,,,,,Zygmunt Turkow,Post,Avrom Morevsky,Post,Yitzkhok Dogim,Post,Ida Kaminska,Post,Frida Vitalin,Post,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yonas Turkow,Actor,Dina Halpern,Actor,Paul Breitman,Actor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Unzer Teater Studio,,none,Yiddish,School,1925,1926,"Bronx, New York ",,,,,,,Mendl Elkin,Post,Chaim Shniur,Post,,,,,Joseph Green,Post,Yankev Blayfer,Post,Jacob Bergrin,Post,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Richard Boleslavsky,Teacher,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Unzer vinkl,,none,Yiddish,Professional,1918,1921,Kharkov,,,,,,,Wolf Zilberberg,Pre,,,,,,,Zygmunt Turkow,Pre,Roza Birnboym,Pre,Betty Dalska,Pre,Ida Kaminska,Pre,Leyzer Zhelazo,Pre,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ester-Rokhl Kaminska,Actor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vilna Dramatic Ensemble,,none,Yiddish,Professional,,,Vilna,,,,,,,,,,,,,,,Sonia Altboym,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vilna Yiddish Drama Club,,none,Yiddish,Amateur,1911?,,Vilna,,,,,,,,,,,,,,,Alexander Azro,Pre,Sonia Alomis,Pre,Noah Nachbush,Pre,R. Rivkina,Pre,Chaim Shniur,Pre,Frida Blumental,Pre,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Peretz Hirschbein,Founder,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vilner dramatisher trupe,,none,Yiddish,Amateur,,,Vilna,,,,,,,,,,,,,,,Khavel Buzgan,Post,Zygmunt Turkow,Pre,Isaac Samberg,Post,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ester-Rokhl Kaminska,Actor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vilner operetes trupe,,none,Yiddish,Professional,,,Vilna,,,,,,,,,,,,,,,A. Sandu,Post,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vilner yidish folks teater,,none,Yiddish,Professional,1956,,Vilna,,,,,,,Yitzkhok Dogim,Post,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vilner yidisher melukhe teater,,none,Yiddish,Professional,,,Vilna,,,,,,,,,,,,,,,Shloyme Kon,Pre,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vilner yidisher teater,,none,Yiddish,Professional,,,Vilna,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yonas Turkow,Artistic Director,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VKYT,Varshever yidisher kunst teater,http://www.yivoencyclopedia.org/article.aspx/Warsaw_Yiddish_Art_Theater,Yiddish,Professional,,,Warsaw,,,,,,,Zygmunt Turkow,Post,Ida Kaminska,Post,,,,,Klara Segalovitch,Post,Sonia Altboym,Pre,Adam Domb,Pre,Ruth Taru,Pre,Meir Melman,Post,Dovid Birnboym,Pre,Yitzkhok Grudberg,Pre,Yankev Mansdorf,Post,Yankev Mandlblit,Pre,Zalmen Hirshfeld,Pre,Khavel Buzgan,Post,Josef Kaminski,Pre,Fritz Kleynman,Pre,Naomi Natan,Pre,Simkhe Natan,Pre,A. Sandu,Post,Moyshe Tayman,Pre,Pepi Urich,Post,Władysław Weintraub,Post,Wolf Zilberberg,Post,Yoysef Shlivniak,Post,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yonas Turkow,Actor,Moyshe Lipman,Actor,Rose Shoshana,Actor,Diana Blumenfeld,Actor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VNIT,Varshever nayer idisher teater,http://www.yivoencyclopedia.org/article.aspx/Turkow_Family,Yiddish,Professional,,,Warsaw,,,,,,,Dovid Herman,Post,,,,,,,Zygmunt Turkow,Post,Yitzkhok Grudberg,Post,Hersh Poznanski,Post,Isaac Samberg,Post,Klara Segalovitch,Post,Yoysef Shlivniak,Post,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yonas Turkow,Founder,Karol Frycz,Designer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Warsaw Academy of Drama,,https://en.wikipedia.org/wiki/The_Aleksander_Zelwerowicz_National_Academy_of_Dramatic_Art_in_Warsaw,Polish,School,18?,,Warsaw,,,,,,,,,,,,,,,Dovid Herman,Pre,Bela Belarina,Pre,Luba Kadison,Pre,Mark Schweid,Pre,Yankev Shidlo,Pre,Chava Eisen,Pre,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Warsaw Quartet,,none,Polish,Orchestra,,,Warsaw,,,,,,,Josef Kaminski,Post,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
