Last Name,First Name,Full Name,Gender,Real Last,Real First,Alternate Names?,Branch,Branch1,Branch2,Branch3,Branch4,Branch5,Branch6,Branch7,Approx Dates in VT,VT Locations,Type of VT Connection,Connection Type Code,Related to,Relationship,Related to,Relationship,Related to,Relationship,Related to,Relationship,Related to,Relationship,Related to,Relationship,Related to,Relationship,Related to,Relationship,Related to,Relationship,Related to,Relationship,Studied With,Studied With,Studied With,Studied With,Studied With,Studied With,Studied With,Studied At,Type,Language,Location,Latitude,Longitude,Studied At,Type,Language ,Location,Latitude,Longitude,Studied At,Type,Language ,Location,Latitude,Longitude,Worked At,Role,Language,Location,Latitude,Longitude,Second Location,Second Latitude,Second Longitude,Third Location,Third Latitude,Third Longitude,Fourth Location,Fourth Latitude,Fourth Longitude,Fifth Location,Fifth Latitude,Fifth Longitude,Worked At,Role,Language,Location,Latitude,Longitude,Second Location,Second Latitude,Second Longitude,Worked At,Role,Language,Location,Latitude,Longitude,Worked At,Role,Language,Location,Latitude,Longitude,Worked At,Role,Language,Location,Latitude,Longitude,Worked At,Role,Language,Location,Latitude,Longitude,Worked At,Role,Language,Location,Latitude,Longitude,Worked At,Role,Language,Location,Latitude,Longitude,Worked At,Role,Language,Location,Latitude,Longitude,Worked At,Role,Language,Location,Latitude,Longitude,Worked At,Role,Language,Location,Latitude,Longitude,Worked with,Role,Worked with,Role,Worked with,Role,Worked with,Role,Worked with,Role,Worked with,Role,Worked with,Role,Worked with,Role,Worked with,Role,Worked with,Role,Worked with,Role,Worked with,Role,Worked with,Role,Worked with,Role,Worked with,Role,Worked with,Role,Worked with,Role,Worked with,Role,Worked with,Role,Worked with,Role,Worked with,Role,Worked with,Role,Worked with,Role,Worked with,Role,Worked with,Role,Worked with,Role,Worked with,Role,Worked with,Role,Worked with,Role,Worked with,Role,Worked with,Role,Worked with,Role,Worked with,Role,Worked with,Role,Worked with,Role,Worked with,Role,Worked with,Role,Worked with,Role,Worked with,Role,Worked with,Role,Worked with,Role,Worked with,Role,Worked with,Role,Worked with,Role,Worked with,Role,Worked with,Role,Worked with,Role,Worked with,Role,Worked with,Role,Worked with,Role,Worked with,Role,Worked with,Role,Worked with,Role,Worked with,Role,Worked with,Role
Senderoff,Abraham,Abraham Senderoff,m,,,,Bronx,Bronx,,,,,,,1928,New York,Actor,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Shapiro,Annie,Annie Shapiro,f,,Anna,Eni Shapiro,"AA, AmRev",AA,AmRev,,,,,,"1924-1925, 1926-1927",US,Actor,A,Charlotte Goldstein Chafran,Grandmother,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Boris Thomashefsky,Performed with,Celia Adler,Performed with,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Shapiro,Daniel,Daniel Shapiro,m,,,,"MVT, WBS",MVT,WBS,,,,,,"1926-1927, 1930-1931, 1933-1935","EE, Belgium, WE","Actor, Director","A, Dir",Rivke Gamarska,Husband,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Folks un yugnt teater,Actor,Yiddish,Lodz,51.759248,19.455983,,,,Nayer yidisher teater,Actor,Yiddish,Riga,56.949649,24.105186,Riger yidishn meutim teater,Actor,Yiddish,Riga,56.949649,24.105186,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Klara Segalovitch,Performed with,Avrom Morevsky,Performed with,Mordechai Mazo,Performed with,Mikhl Vaykhert,Performed with,Leon Schiller,Performed with,Władysław Godik,Performed with,Ester Goldnberg,Performed with,Shloyme Kon,Performed with,Max Wiskind,Performed with,Aaron Zeitlin,Performed with,Avrom Morevsky,Performed with,Rivke Gamarska,Performed with,Rose Shoshana,Performed with,Zygmunt Turkow,Performed with,Moyshe Lipman,Performed with,Lidia Pototska,Performed with,Paul Baratoff,Performed with,Khavel Buzgan,Performed with,Alex Stein,Performed with,Julius Adler,Performed with,Frida Vitalin,Performed with,Khane Braz,Performed with,Yitzkhok Grudberg,Performed with,Rokhl Holtzer,Performed with,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Shatz,Sholem,Sholem Shatz,m,,,,MVT,MVT,,,,,,,192?,EE,Actor,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Shaygboym,, Shaygboym,m,,,,MVT,MVT,,,,,,,1920-1927,EE,Actor,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Shayn,Yosef,Yosef Shayn,m,,,Joseph Schein,MVT,MVT,,,,,,,193?,EE,Actor,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Dovid Herman Theater,Actor,Yiddish,Melbourne,-37.814107,144.963281,,,,GOSET,Actor,Yiddish,Moscow,55.755826,37.617301,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Jacob Waislitz,Performed with,Rokhl Holtzer,Performed with,Alexander Granovsky,Performed with,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sheftel,Franya,Franya Sheftel,f,,,,Stein,Stein,,,,,,,193?,Berlin,Actor,A,Shmuel Sheftel,Wife,Sonia Sheftel-Shternfeld,Mother,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sheftel ,Shmuel,Shmuel Sheftel ,m,,,,"O, MVT, Stein",O,MVT,Stein,,,,,1916-1935,"EE, WE","Actor, Assistant Director, Stage Manager","A, Dir, SM",Franya Sheftel,Husband,Noah Nachbush,Cousin,Sonia Sheftel-Shternfeld,Father,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Di yidishe bande,Actor,Yiddish,Kalisz,51.767281,18.085346,Vilna,54.687156,25.279651,Paris,48.856614,2.352222,Buenos Aires,-34.603723,-58.381593,Sao Paolo,-23.550521,-46.633309,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Alexander Granovsky,Performed with,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sherman,Yankev,Yankev Sherman,m,,,"""Hamacabi""","O, MVT, AA",O,MVT,AA,,,,,1915-1921,EE,Actor,A,Yehudis Sherman,Husband,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sherman,Yehudis,Yehudis Sherman,f,,,,O,O,,,,,,,1916-1917,EE,Actor,A,Yankev Sherman,Wife,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Shidlo,Yankev,Yankev Shidlo,m,Klyatchkin,,"I. Shidlo, Jacob Shidlo, Isak Schidlower",AA,AA,,,,,,,1920-192?,EE,Actor,A,,,,,,,,,,,,,,,,,,,,,Dovid Herman,,,,,,,Yiddish Drama School,Theater school,Yiddish,Warsaw,52.229676,21.012229,Teatr Mały,Theater school,Polish,Warsaw,52.23453,21.011338,Warsaw Academy of Drama,Theater school,Polish,Warsaw,52.229676,21.012229,GOSET,Actor,Yiddish,Moscow,55.755826,37.617301,,,,,,,,,,,,,Ahata Amateur Theater Club,Director,Yiddish,Warsaw,52.229676,21.012229,,,,Naye yidishe teater,Actor,Yiddish,Riga,56.949649,24.105186,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Jenny Epstein,Performed with,Alexander Granovsky,Performed with,Solomon Mikhoels,Performed with,Zygmunt Turkow,Performed with,Yonas Turkow,Performed with,Morits Norvid,Performed with,Henrik Tarlo,Performed with,Sara Rotbaum,Performed with,Baruch Lumet,"Teacher, Director",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Shifer,, Shifer,m,,,,O,O,,,,,,,1917,Vilna,Actor,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Shigorin,Yankev,Yankev Shigorin,m,,,"James, Jacob","MVT, AmRev, Belgium",MVT,AmRev,Belgium,,,,,"1926-1927, 1929-1930, 1932","US, WE",Actor,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Shik,Miriam,Miriam Shik,f,,,,MVT,MVT,,,,,,,1919-1922,EE,Actor,A,,,,,,,,,,,,,,,,,,,,,Dovid Herman,,,,,,,Yiddish Drama School,Theater school,Yiddish,Warsaw,52.229676,21.012229,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Shik,A.,A. Shik,m,,,,?,?,,,,,,,?,?,Designer,D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Shiller,Rivka,Rivka Shiller,f,,,"Reweka Szyler, Rivka Schiller",MVT,MVT,,,,,,,"192?, 1931, 1933","Warsaw, WE",Actor,A,Khavel Buzgan,Wife,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Riger yidishn meutim teater,Actor,Yiddish,Riga,56.949649,24.105186,,,,,,,,,,,,,Yiddish Art Theater,Actor,Yiddish,New York,40.730929,-73.986157,,,,Polish State Yiddish Theater,Actor,Yiddish,Warsaw,52.229676,21.012229,"Yiddish Folk Theater, Lviv",Actor,Yiddish,Lviv,49.839683,24.029717,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Khavel Buzgan,Performed with,Maurice Schwartz,Performed with,Ida Kaminska,Performed with,Liza Schlossberg,Performed with,Simkhe Natan,Performed with,Naomi Natan,Performed with,Yankev Kurlender,Performed with,Khavel Buzgan,Performed with,Khane Braz,Performed with,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Shlivniak,Yoysef,Yoysef Shlivniak,m,,,,MVT,MVT,,,,,,,1928,Warsaw,Costume designer,D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Azazel,Designer,Yiddish,Warsaw,52.229676,21.012229,,,,,,,,,,,,,VYKT,Designer,Yiddish,Warsaw,52.229676,21.012229,,,,VNIT,Designer,Yiddish,Warsaw,52.229676,21.012229,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Moyshe Lipman,Designer,Yitzkhok Broyner,Designer,Dina Halpern,Designer,Moyshe Broderzon,Designer,Henekh Kon,Designer,Zygmunt Turkow,Designer,Ida Kaminska,Designer,Jacob Rotbaum,Designer,Avrom Taytlboym,Designer,Yonas Turkow,Designer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Shniur,Chaim,Chaim Shniur,m,Gamerov,Shniur-Khayim,"Sh. Shniur, Chaim Shneyer, Khayim Shniur","O, MVT, AA, AmRev3",O,MVT,AA,AmRev3,,,,"1915-1925, 1936","EE, WE, US",Actor,A,Bela Belarina,Husband,Rivke Kasman,Brother,Ester Gamerov,Brother,,,,,,,,,,,,,,,Peretz Hirschbein,,,,,,,Vilna Yiddish drama club,Amateur club,Yiddish,Vilna,54.687156,25.279651,,,,,,,,,,,,,Unzer Teater,Actor,Yiddish,"Bronx, New York",40.844782,-73.864827,,,,,,,,,,,,,Yiddish Art Theater,Actor,Yiddish,New York,40.730929,-73.986157,,,,"Yiddish Theater Unit, Federal Theater Project",Actor,Yiddish,New York,40.759288,73.989019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Peretz Hirschbein,Performed with,Bela Belarina,Performed with,Joseph Green ,Performed with,Yankev Blayfer,Performed with,Dovid Pinski,Performed with,Peretz Hirschbein,Performed with,H. Leivick,Performed with,Boris Aronson,Designer,Egon Brecher,Performed with,David Vardi,Performed with,Boris Aronson,Performed with,Yankev Mestel,Performed with,Henrik Galeen,Performed with,Ernst Deutsch,Performed with,Maurice Schwartz,Performed with,Yankev Mestel,Performed with,Julius Adler,Performed with,Luther Adler,Performed with,Baruch Lumet,Performed with,Paul Baratoff,Performed with,Jacob Bergrin,Performed with,Mendl Elkin,Performed with,Wolf Barzel,Performed with,Yoyel Bergman,"Teacher, Performed with",Jacob Ben-Ami,Performed with,Joseph Buloff,Performed with,Celia Adler,Performed with,Frida Vitalin,Performed with,Boris Auerbach,Co-Director,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Shoenfeld,Ben Tsion,Ben Tsion Shoenfeld,m,Shaynfeld,,"Ben Shoenfeld, Ben Zion Sheinfeld",AmRev3,AmRev3,,,,,,,1936,US,Stage Manager,SM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yiddish Art Theater,Actor,Yiddish,New York,40.730929,-73.986157,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Jacob Rotbaum,Performed with,Alex Chertov,Performed with,Maurice Schwartz,Performed with,Lucy German,Performed with,Luba Kadison,Performed with,Misha Fishzon,Performed with,Misha German,Performed with,Avrom Taytlboym,Performed with,Shloyme Krause,Performed with,Ben Tsion Katz,Performed with,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Shternberg,Yankev,Yankev Shternberg,m,,,"Yankev Shteynberg, Yakob Shternberg, Jacob Sternberg",MVT,MVT,,,,,,,1924-1926,Romania,Director,Dir,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BITS,"Founder, Director",Yiddish,Bucharest,44.432501,26.103889,,,,,,,,,,,,,Moldovan State Jewish Theater,Artistic Director,Yiddish,Kishinev,47.000001,28.916667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Dina Koenig,Director,Fraym Sorkin,Director,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Slabodski,Avrom,Avrom Slabodski,m,,,"Abraham Slabodski, Aleksander Slobodsky",MVT,MVT,,,,,,,1921-1922,EE,Actor,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yiddish Acting Studio Vilna,Co-Founder,Yiddish,Vilna,54.687156,25.279651,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Shabsay Bliakher,"Co-Founder, Performed with",Bela Daniel,Co-Founder,Bela Daniel,Performed with,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sniegov,Leonid,Leonid Sniegov,m,Goldstein,Yehuda-Leyb,Leonid Snegoff,MVT,MVT,,,,,,,1919-1920,"Bialystok, EE",Actor,A,Ester Orzevskaya,Husband,,,,,,,,,,,,,,,,,,,,,,,,,,Odessa Drama School,Theater school,Russian,Odessa,46.482526,30.72331,,,,,,,,,,,,,Irving Place Art Theater,Actor,Yiddish,New York ,40.718289,-73.991127,,,,,,,,,,,,,Teatre le Temple,Actor,Yiddish,Paris,48.856614,2.352222,,,,Yiddish Art Theater,Actor,Yiddish,New York,40.730929,-73.986157,,,,,,,Ensemble Art Theater,Actor,Yiddish,New York,40.759288,73.989019,Jewish Art Theater,Actor,Yiddish,New York,40.759288,73.989019,Odessa State Theater,Actor,Yiddish,Odessa,46.482526,30.723311,,,,,,,,,,,,,,,,,,,,,,,,,Ester Orzevskaya,Performed with,Maurice Schwartz,Performed with,Jacob Ben-Ami,Performed with,Yankev Mestel,Performed with,Helen Zelinskaya,Performed with,Wolf Barzel,Performed with,Alexander Granovsky,Performed with,Egon Brecher,Performed with,Paul Baratoff,Performed with,Bertha Gersten,Performed with,Julius Adler,Performed with,Joseph Buloff,Performed with,Fred Astaire,Performed with,Cyd Charisse,Performed with,Ingrid Bergman,Performed with,Gary Cooper,Performed with,Cesar Romero,Performed with,Jimmy Stewart,Performed with,Stella Adler,Performed with,Reuven Vendorf,Performed with,Lidia Pototska,Performed with,Helen Zelinskaya,Performed with,Moyshe Burstin,Performed with,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sorkin,Fraym,Fraym Sorkin,m,,,Fryoke Sorokin,"MVT, Stein",MVT,Stein,,,,,,"1924, 1933","Romania, Berlin","Actor, Hairdresser","A, D",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Moldovan State Jewish Theater,"Actor, Makeup artist",Yiddish,Kishinev,47.000001,28.916667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Misha Fishzon,Performed with,Paul Baratoff,Performed with,Itzikl Goldnberg,Performed with,Yankev Shternberg,Performed with,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Stein,Alex,Alex Stein,m,Shtayn,Alyosha,Eliyahu Shtayn,"O, MVT, AA, Stein",O,MVT,AA,Stein,,,,"1917-1918, 1920-1927, 1930-1933","EE, WE, US","Actor, Director","A, Dir",Yosef Kamen,Brother,Dina Koenig,Sister-in-law,Lea Koenig,Uncle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FAKT,"Director, Founder",Yiddish,Krakow,50.064651,19.944981,Lodz,51.759248,19.455983,Yiddish Art Theater,Actor,Yiddish,New York,40.730929,-73.986157,,,,,,,Yiddish Folk Theater,Actor,Yiddish,Vilna,54.687156,25.279651,Riger yidishn meutim teater,Director,Yiddish,Riga,56.949649,24.105186,Birobidzhaner State Theater,Director,Yiddish,Birobidzhan,48.801389,132.901111,,,,,,,,,,,,,,,,,,,,,,,,,Maurice Schwartz,Performed with,Henekh Kon,Director,Moyshe Schneidow,Director,Avrom Morevsky,Performed with,Nokhum Lipovski,Performed with,Joseph Buloff,Performed with,Yosef Kamen,Performed with,Zygmunt Turkow,Performed with,Ida Kaminska,Performed with,Mark Arnshteyn,Performed with,Adam Domb,Performed with,Sonia Altboym,Performed with,Yankev Mansdorf,Teacher,Simkhe Natan,Performed with,Lidia Pototska,Performed with,Liza Schlossberg,Performed with,Dovid Likht,Performed with,Yankev Reynglas,Performed with,Daniel Shapiro,Performed with,Lucy German,Performed with,Misha German,Performed with,Yitzkhok Grudberg,Performed with,Bertha Gersten,Performed with,Joseph Green,Performed with,Frida Vitalin,Director,Khane Braz,Performed with,Klara Segalovitch,Performed with,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Stutschinsky,Rose,Rose Stutschinsky,f,,,,AA,AA,,,,,,,1921-1923,WE,Actor,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Syrkus,Szymon,Szymon Syrkus,m,,,,MVT,MVT,,,,,,,1933,WE,Designer,D,Helena Syrkus,Husband,,,,,,,,,,,,,,,,,,,,Walter Gropius,Leon Wyczółkowski,Stanisław Dębicki,,,,Kraków Academy of Fine Arts,Art school,Polish,Kraków,50.066259,19.941582,Bauhaus,Art school,German,Weimar,50.97404,11.32878,École des Beaux-Arts,Art school,French,Paris,48.856601,2.33459,Praesens,Founder,Polish,Warsaw,52.229676,21.012229,,,,,,,,,,,,,Congrès International d'Architecture Moderne (CIAM),Founder,French,La Sarraz,46.659701,6.515561,,,,Yung Teater,Designer,Yiddish,Warsaw,52.229676,21.012229,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mikhl Vaykhert,Designer,Andrzej Pronaszko,Co-Designer,Felix Fibich,Designer,Judith Berg,Designer,Henekh Kon,Designer,Hannes Meyer,Co-Founder,Edouard Autant,Fellow student,Le Corbusier,Colleague,Mark Arnshteyn,Designer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tanin,Sholem,Sholem Tanin,m,Tankus,,Shloyme Tanin,"O, AA, AmRev, AmRev2, Bronx, AmRev3",O,AA,AmRev,AmRev2,Bronx,AmRev3,,"1915-1925, 1926-1927, 1928-1930, 1932-1933, 1936","EE, WE, US",Actor,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Leib Kadison,Performed with,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tanow,M.,M. Tanow,m,,,,Stein,Stein,,,,,,,193?,Vienna,Actor,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
