Film,Alt Titles,Language,Date,Country,VT Member,Role,VT Member,Role,VT Member,Role,VT Member,Role,VT Member,Role,VT Member,Role,VT Member,Role,VT Member,Role,VT Member,Role,VT Member,Role,VT Member,Role,VT Member,Role,VT Member,Role,VT Member,Role,VT Member,Role,VT Member,Role,VT Member,Role,VT Member,Role,2nd/3rd degree conn,Role,2nd/3rd degree conn,Role,2nd/3rd degree conn,Role,2nd/3rd degree conn,Role,2nd/3rd degree conn,Role,2nd/3rd degree conn,Role,2nd/3rd degree conn,Role,2nd/3rd degree conn,Role,Misc
Shir hashirim,,Yiddish,1935,US,Reuven Vendorf,Actor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Seymour Rexite,Actor,,,,,,,,,,,,,,,
Silk Stockings,,English,1957,US,Joseph Buloff,Actor,Leonid Sniegov,Actor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Fred Astaire,Actor,Cyd Charisse,Actor,,,,,,,,,,,,,
Somebody Up There Likes Me,,English,1956,US,Joseph Buloff,Actor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Paul Newman,Actor,,,,,,,,,,,,,,,
Tevye der milkhiker,Tevye,Yiddish,1939,US,Leon Liebgold,Actor,Louis Weisberg,Actor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Maurice Schwartz,Director/Actor,Julius Adler,Actor,,,,,,,,,,,,,
That Touch of Mink,,English,1962,US,Leola Vendorf,Actor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Cary Grant,Actor,Doris Day,,,,,,,,,,,,,,
The Angel Levine,,English,1970,US,Ida Kaminska,Actor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ján Kadár,Director,Zero Mostel,Actor,Harry Belafonte,Actor,Eli Wallach,Actor,,,,,,,,,
The Feast of Passover,Di Seder Nakht,Yiddish,1931,US,Noah Nachbush,Actor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Frisco Kid,,English,1979,US,Yankev Blayfer,Actor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Leo Fuchs,Actor,Gene Wilder,Actor,Harrison Ford,Actor,,,,,,,,,,,
The Hook,,English,1963,US,Yankev Blayfer,Actor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Kirk Douglas,Actor,,,,,,,,,,,,,,,
The Little Shop of Horrors,,English,1960,US,Leola Vendorf,Actor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Jack Nicholson,Actor,,,,,,,,,,,,,,,
The Loves of Carmen,,English,1948,US,Joseph Buloff,Actor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Rita Hayworth,Actor,Luther Adler,Actor,,,,,,,,,,,,,
The Mark of Zorro,,English,1940,US,Yankev Blayfer,Actor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Tyrone Power,Actor,,,,,,,,,,,,,,,
The Shop on Main Street,Obchod na korze,"Slovak, Yiddish",1966,Czechoslovakia,Ida Kaminska,Actor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ján Kadár,Director,,,,,,,,,,,,,,,
The Wandering Jew,Abraham Our Patriarch,Yiddish,1933,US,Jacob Ben-Ami,Actor,Yankev Mestel,Actor,Avrom Taytlboym,Actor,Reuven Vendorf,Actor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
They Met in Argentina,,English,1941,US,Joseph Buloff,Actor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Leslie Goodwins,Director,Maureen O'Hara,Actor,,,,,,,,,,,,,
Tkies khaf,The Vow,Yiddish,1924,US,Zygmunt Turkow,Director,Adam Domb,Actor,Ida Kaminska,Actor,Henrik Tarlo,Actor,Sonia Altboym,Actor,,,,,,,,,,,,,,,,,,,,,,,,,,,Ruth Turkow,Actor,Ester-Rokhl Kaminska,Actor,Władysław Godik,Actor,Yonas Turkow,Actor,Diana Blumenfeld,Actor,Moyshe Lipman,Actor,,,,,
Tkies khaf (remake),The Vow,Yiddish,1937,Poland,Zygmunt Turkow,Director,Yitzkhok Grudberg,Actor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Dina Halpern,Actor,Henryk Szaro,Director,Moyshe Lipman,Actor,,,,,,,,,,,
To the Victor,,English,1948,US,Joseph Buloff,Actor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,John Banner,Actor,Delmar Daves,Director,,,,,,,,,,,,,
Tsvey shvester,Two Sisters,Yiddish,1938,US,Avrom Taytlboym,Actor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Jenny Goldstein,Actor,,,,,,,,,,,,,,,
Unzere kinder,Our Children,Yiddish,1948,Poland,Nadia Kareni,Actor,Jacob Rotbaum,Actor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Shimon Dzigan,Actor,Yisroel Shumacher,Actor,,,,,,,,,,,,,
Yankl der shmid,The Singing Blacksmith,Yiddish,1938,US,Leah Naomi,Actor,Reuven Vendorf,Actor,Benjamin Fishbein,Actor,Nathan Gaiptman,Costume Designer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Edgar G. Ulmer,Director,Paul Baratoff,Actor/Co-Director,Osip Dimov,Co-director,,,,,,,,,,,
Yidl mitn fidl,,Yiddish,1936,US/Poland,Joseph Green,Director,Leon Liebgold,Actor,Simkhe Natan,Actor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Molly Picon,Actor,,,,,,,,,,,,,,,
